vector_size,window,min_count,epochs,silhouette,inertia,pca_variance
300,3,1,5,0.52519137,994.2465209960938,0.99994546
200,3,1,5,0.51405287,1090.7796630859375,0.9999424
100,3,1,5,0.46732223,1309.0262451171875,1.0000001
300,5,1,5,0.461863,1368.0712890625,0.9999606
200,5,1,5,0.4463715,1488.9615478515625,0.99995947
300,3,2,5,0.4161922,1597.514404296875,0.9998782
300,7,1,5,0.41571394,1716.8968505859375,0.99996865
100,5,1,5,0.4083891,1721.6968994140625,0.9999998
200,7,1,5,0.4014395,1845.57177734375,0.9999682
200,3,2,5,0.40132385,1689.828857421875,0.99987507
100,7,1,5,0.38807076,1968.499755859375,1.0
300,5,2,5,0.37752464,1978.37158203125,0.99992335
300,7,2,5,0.37080956,2109.650146484375,0.9999475
200,7,2,5,0.36662114,2147.64453125,0.99994636
200,5,2,5,0.36599004,2105.12255859375,0.9999222
100,3,2,5,0.3616473,1963.2567138671875,1.0000001
300,3,3,5,0.35795215,1929.8023681640625,0.9998106
300,7,3,5,0.35741612,2152.814208984375,0.99994034
100,5,2,5,0.3554882,2200.71337890625,1.0
300,5,3,5,0.3533598,2177.7802734375,0.99990433
100,7,2,5,0.35104334,2259.25146484375,0.9999999
200,7,3,5,0.34858972,2230.917236328125,0.99993753
200,5,3,5,0.3454943,2228.53369140625,0.99990386
200,3,3,5,0.33793566,2052.1064453125,0.9998153
100,7,3,5,0.33592883,2309.13134765625,1.0000001
100,5,3,5,0.33068165,2327.5673828125,0.9999998
100,3,3,5,0.32395864,2313.85693359375,0.99999994
300,3,1,10,0.23315915,3200.984619140625,0.9998877
200,3,1,10,0.22658883,3269.32958984375,0.99988586
300,5,1,10,0.22031197,3311.12109375,0.9999278
100,3,1,10,0.21719874,3361.49658203125,1.0
200,5,1,10,0.21422084,3384.81298828125,0.99992603
300,7,1,10,0.21029241,3406.123291015625,0.9999448
100,5,1,10,0.20603843,3460.33447265625,0.99999994
200,7,1,10,0.20517866,3466.426513671875,0.99994344
100,7,1,10,0.19659293,3549.0537109375,1.0000002
300,3,2,10,0.19535941,3479.0078125,0.9998471
300,5,2,10,0.19199006,3514.689208984375,0.9999071
200,3,2,10,0.1884914,3566.7177734375,0.999847
200,5,2,10,0.18700597,3579.322265625,0.99990636
200,7,2,10,0.18421431,3610.147216796875,0.99992955
300,3,3,10,0.1831768,3562.50341796875,0.9998326
100,3,2,10,0.18132818,3642.921630859375,1.0000001
300,7,2,10,0.1812715,3566.090087890625,0.9999326
300,7,3,10,0.18120801,3641.319091796875,0.9999241
300,5,3,10,0.17935434,3597.29248046875,0.99989927
100,5,2,10,0.17892146,3667.751220703125,0.99999994
200,5,3,10,0.17799595,3664.15478515625,0.9998977
100,7,2,10,0.17742868,3688.201416015625,1.0
200,3,3,10,0.1763832,3632.196044921875,0.9998292
100,5,3,10,0.17274545,3733.5146484375,1.0
200,7,3,10,0.17212254,3678.94140625,0.9999216
100,7,3,10,0.17129348,3753.73583984375,1.0000001
100,3,3,10,0.17126213,3723.89013671875,0.9999999
300,3,1,20,0.11405508,4463.099609375,0.9980264
300,5,1,20,0.113697015,4478.7001953125,0.99883527
300,7,1,20,0.111946486,4513.95654296875,0.999119
200,5,1,20,0.111494265,4509.72314453125,0.99887556
100,7,1,20,0.11143514,4569.3203125,1.0
200,7,1,20,0.11121136,4523.97705078125,0.9991241
200,3,1,20,0.11110302,4495.0546875,0.99814916
300,3,2,20,0.110074684,4602.2236328125,0.99732125
100,3,1,20,0.10859803,4531.56689453125,1.0
100,5,1,20,0.1083471,4535.63037109375,1.0
300,7,2,20,0.1056562,4615.41748046875,0.9987323
300,5,2,20,0.105637774,4596.50048828125,0.9983455
200,5,2,20,0.10514889,4608.70263671875,0.99841535
100,7,2,20,0.10445334,4681.66455078125,1.0
200,7,2,20,0.104363464,4653.64208984375,0.99873734
200,5,3,20,0.10360789,4699.14453125,0.9980864
100,5,2,20,0.10346498,4628.1142578125,0.99999994
200,3,2,20,0.102869995,4616.5625,0.99745524
300,5,3,20,0.10251257,4660.123046875,0.99806
100,5,3,20,0.10242263,4716.708984375,1.0
200,7,3,20,0.10164611,4726.19580078125,0.99850136
100,3,2,20,0.101193435,4657.8759765625,0.9999999
300,7,3,20,0.10058888,4700.7431640625,0.99845064
300,3,3,20,0.10042026,4668.3173828125,0.99680007
100,7,3,20,0.097643085,4739.2255859375,0.99999994
200,3,3,20,0.09735857,4702.34521484375,0.996956
100,3,3,20,0.096067086,4720.41943359375,0.9999999
