orangtua,orang tua
mikir,pikir
lakilaki,laki laki
benarbenar,benar benar
terimakasih,terima kasih
orangorang,orang orang
tibatiba,tiba tiba
postingan,unggahan
ngalamin,mengalami
nganggur,menganggur
anakanak,anak anak
katakata,kata kata
apaapa,apa apa
sosmed,media sosial
halhal,hal hal
temanteman,teman teman
kayaknya,sepertinya
ngontrak,mengontrak
baikbaik,baik baik
bantuin,membantu
ngantuk,mengantuk
pernh,pernah
seharihari,sehari hari
rabbal,rabbul
setres,stres
krj,kerja
aslam,assalamualaikum
lahiran,kelahiran
ortuku,orang tuaku
pelanpelan,pelan pelan
aalamiin,aamiin
gaes,teman teman
tsayat,tersayat
marahin,memarahi
nurut,menurut
berkali,berkali kali
ngadepin,menghadapi
ngejar,mengejar
treatment,perawatan
alhamdulilah,alhamdulillah
pdkt,pendekatan
trimakasih,terima kasih
beraktifitas,beraktivitas
ngebuat,membuat
syndrome,sindrom
suamiistri,suami istri
ngelupain,melupakan
mmng,memang
walopun,walaupun
tggl,tinggal
tlfn,telepon
wlpn,walaupun
wrwb,waalaikumsalam warahmatullahi wabarakatuh
tntng,tentang
usha,usaha
strees,stres
krywn,karyawan
bgst,bangsat
nlpn,nelpon
mngkn,mungkin
sktr,sekitar
brng,barang
bbgt,banget
bpkny,bapaknya
mnjd,menjadi
komplen,komplain
mntk,minta
trsbt,tersebut
brhrp,berharap
kbln,kembalian
mashaallah,masya Allah
kekeluarga,kekeluargaan
hutng,hutang
pade,pada
jagan,jangan
ngehindar,menghindari
pndek,pendek
sberapa,seberapa
bhsa,bahasa
bkalan,bakalan
manas,panas
syndrom,sindrom
tekhnik,teknik
imingiming,iming iming
lecehin,melecehkan
pisahin,memisahkan
pernha,pernah
ngegosipin,menggosipkan
insyallah,insya Allah
devisi,divisi
alhamdullilah,alhamdulillah
ekpresikan,ekspresikan
etapi,tetapi
melunasin,melunasi
nyibukin,menyibukkan
sabenerna,sebenarnya
memperbaikin,memperbaiki
menyemangatin,menyemangati
ngedekati,mendekati
menejer,manajer
tutorin,mengajari
klakuanya,kelakuannya
tetanggatetangga,tetangga tetangga
mereaka,mereka
segalah,segala
aktifitasku,aktivitasku
blon,belum
menafkai,menafkahi
isengin,mengusili
aktifitasnya,aktivitasnya
bussinesman,pengusaha
bubarbubar,bubar bubar
kwan,teman
komen,komentar
sblumnya,sebelumnya
dirumah,di rumah
hp,telepon
disini,di sini
disitu,di situ
chat,obrolan 
guys,teman-teman
btw,omong omong
apapun,apa pun
anakanak,anak anak
siapapun,siapa pun
diluar,di luar
dibully,dirundung
setres,stres
dirumah,di rumah
dibawah,di bawah
diatas,di atas
ngalamin,mengalami
ngutang,berutang
lakukan,melakukan
ngaruh,berpengaruh

